epoch,train_loss,train_acc,val_loss,val_acc,val_acc_A,val_acc_B,val_acc_C,val_acc_Five,val_acc_Point,val_acc_V
1,0.26227151210312505,0.9092936802973978,0.2793288360484204,0.9213930348258706,0.9433962264150944,0.7524752475247525,0.775,0.9574468085106383,0.9928057553956835,0.96
2,0.05775638880782854,0.9856257744733581,0.12017124691857628,0.9621890547263682,0.9849056603773585,0.9900990099009901,0.9416666666666667,0.9716312056737588,0.9244604316546763,0.99
3,0.050402775465925094,0.9868649318463445,0.02230982340603548,0.9930348258706467,0.9962264150943396,0.9900990099009901,1.0,0.9858156028368794,0.9892086330935251,1.0
4,0.03898683676087612,0.990086741016109,0.00845459738273674,0.9990049751243781,1.0,1.0,0.9916666666666667,1.0,1.0,1.0
5,0.005090049978765708,0.9992565055762082,0.003001581349170336,1.0,1.0,1.0,1.0,1.0,1.0,1.0
