row_type,epoch,batch,step,batch_loss,running_train_loss,running_train_acc,train_loss,train_acc,val_loss,val_acc,val_acc_A,val_acc_B,val_acc_C,val_acc_Five,val_acc_Point,val_acc_V
batch,1,1,1,1.7599841356277466,1.7599841356277466,0.265625,,,,,,,,,,
batch,1,2,2,1.5570203065872192,1.658502221107483,0.2734375,,,,,,,,,,
batch,1,3,3,1.4030892848968506,1.5733645757039387,0.3072916666666667,,,,,,,,,,
batch,1,4,4,1.038179874420166,1.4395684003829956,0.3984375,,,,,,,,,,
batch,1,5,5,0.6855494976043701,1.2887646198272704,0.4875,,,,,,,,,,
batch,1,6,6,0.616997480392456,1.176803429921468,0.5494791666666666,,,,,,,,,,
batch,1,7,7,0.4506989121437073,1.0730742130960738,0.5982142857142857,,,,,,,,,,
batch,1,8,8,0.4977855682373047,1.0011631324887276,0.634765625,,,,,,,,,,
batch,1,9,9,0.18709711730480194,0.910711353023847,0.671875,,,,,,,,,,
batch,1,10,10,0.1768752932548523,0.8373277470469475,0.7015625,,,,,,,,,,
batch,1,11,11,0.2698926329612732,0.7857427366755225,0.7201704545454546,,,,,,,,,,
batch,1,12,12,0.10615986585617065,0.7291108307739099,0.7408854166666666,,,,,,,,,,
batch,1,13,13,0.2400057166814804,0.6914873604591076,0.7560096153846154,,,,,,,,,,
batch,1,14,14,0.15464045107364655,0.6531411526458604,0.7700892857142857,,,,,,,,,,
batch,1,15,15,0.049316663295030594,0.6128861866891384,0.784375,,,,,,,,,,
batch,1,16,16,0.17818832397460938,0.5857175702694803,0.7939453125,,,,,,,,,,
batch,1,17,17,0.05985720455646515,0.5547846075804794,0.8051470588235294,,,,,,,,,,
batch,1,18,18,0.08275663107633591,0.528560831108027,0.8151041666666666,,,,,,,,,,
batch,1,19,19,0.16717872023582458,0.50954072000949,0.821546052631579,,,,,,,,,,
batch,1,20,20,0.1098112165927887,0.489554244838655,0.828125,,,,,,,,,,
batch,1,21,21,0.08912503719329834,0.47048618733173325,0.8348214285714286,,,,,,,,,,
batch,1,22,22,0.3240600824356079,0.46383045529100025,0.8394886363636364,,,,,,,,,,
batch,1,23,23,0.117285817861557,0.44876329714189406,0.845108695652174,,,,,,,,,,
batch,1,24,24,0.2796442210674286,0.44171666897212464,0.8470052083333334,,,,,,,,,,
batch,1,25,25,0.1688014715909958,0.4308000610768795,0.850625,,,,,,,,,,
batch,1,26,26,0.09276141971349716,0.4177985748705956,0.8545673076923077,,,,,,,,,,
batch,1,27,27,0.06203087419271469,0.4046219933640074,0.8587962962962963,,,,,,,,,,
batch,1,28,28,0.20548418164253235,0.397509928659669,0.8616071428571429,,,,,,,,,,
batch,1,29,29,0.37277141213417053,0.3966568763656863,0.8631465517241379,,,,,,,,,,
batch,1,30,30,0.4183958172798157,0.3973815077294906,0.8640625,,,,,,,,,,
batch,1,31,31,0.2015172690153122,0.39106330648064613,0.8654233870967742,,,,,,,,,,
batch,1,32,32,0.13987505435943604,0.3832136736018583,0.86865234375,,,,,,,,,,
batch,1,33,33,0.23871660232543945,0.3788349744722699,0.8712121212121212,,,,,,,,,,
batch,1,34,34,0.20163950324058533,0.37362334296545563,0.8731617647058824,,,,,,,,,,
batch,1,35,35,0.12506255507469177,0.36652160616857665,0.8758928571428571,,,,,,,,,,
batch,1,36,36,0.10147281736135483,0.3591591398128205,0.87890625,,,,,,,,,,
batch,1,37,37,0.17503944039344788,0.354182931720405,0.8809121621621622,,,,,,,,,,
batch,1,38,38,0.1610385775566101,0.3491001855581999,0.8828125,,,,,,,,,,
batch,1,39,39,0.10426762700080872,0.3428224276464719,0.8858173076923077,,,,,,,,,,
batch,1,40,40,0.23990193009376526,0.3402494152076542,0.8859375,,,,,,,,,,
batch,1,41,41,0.11932027339935303,0.3348608995537932,0.8875762195121951,,,,,,,,,,
batch,1,42,42,0.06875844299793243,0.3285251267786537,0.8902529761904762,,,,,,,,,,
batch,1,43,43,0.11895053833723068,0.3236512991404811,0.892078488372093,,,,,,,,,,
batch,1,44,44,0.18270915746688843,0.32044806864789943,0.8934659090909091,,,,,,,,,,
batch,1,45,45,0.33724892139434814,0.32082142093115384,0.8927083333333333,,,,,,,,,,
batch,1,46,46,0.12785275280475616,0.3166264498849278,0.8940217391304348,,,,,,,,,,
batch,1,47,47,0.0665058121085167,0.31130473418755733,0.8962765957446809,,,,,,,,,,
batch,1,48,48,0.09292835742235184,0.3067552263382822,0.8981119791666666,,,,,,,,,,
batch,1,49,49,0.019162293523550034,0.30088598281145096,0.9001913265306123,,,,,,,,,,
batch,1,50,50,0.13311904668807983,0.29753064408898355,0.9015625,,,,,,,,,,
batch,1,51,51,0.08780456334352493,0.29341836799593535,0.9022671568627451,,,,,,,,,,
batch,1,52,52,0.19060063362121582,0.29144110387334454,0.9032451923076923,,,,,,,,,,
batch,1,53,53,0.12012791633605957,0.28820877958018826,0.9038915094339622,,,,,,,,,,
batch,1,54,54,0.06505784392356873,0.2840763548458064,0.9050925925925926,,,,,,,,,,
batch,1,55,55,0.06110526993870735,0.2800223351202228,0.9065340909090909,,,,,,,,,,
batch,1,56,56,0.2609091103076935,0.27968102753428475,0.9065290178571429,,,,,,,,,,
batch,1,57,57,0.05527716875076294,0.2757441177310651,0.9078947368421053,,,,,,,,,,
batch,1,58,58,0.05588290095329285,0.2719534070969656,0.9089439655172413,,,,,,,,,,
batch,1,59,59,0.13275019824504852,0.2695940306757466,0.9091631355932204,,,,,,,,,,
batch,1,60,60,0.1426541805267334,0.2674783665065964,0.9098958333333333,,,,,,,,,,
batch,1,61,61,0.11552101373672485,0.26498726236282805,0.9106045081967213,,,,,,,,,,
batch,1,62,62,0.15343734622001648,0.2631880701669762,0.9112903225806451,,,,,,,,,,
batch,1,63,63,0.03088194504380226,0.25950067135549726,0.9124503968253969,,,,,,,,,,
batch,1,64,64,0.0410238541662693,0.25933823506018927,0.9125154894671623,,,,,,,,,,
epoch,1,,64,,,,0.25933823506018927,0.9125154894671623,0.12999256260656006,0.9701492537313433,0.9471698113207547,0.9801980198019802,0.925,0.9858156028368794,0.9964028776978417,0.98
batch,2,1,65,0.009292159229516983,0.009292159229516983,1.0,,,,,,,,,,
batch,2,2,66,0.02881619520485401,0.019054177217185497,1.0,,,,,,,,,,
batch,2,3,67,0.025490453466773033,0.021199602633714676,0.9947916666666666,,,,,,,,,,
batch,2,4,68,0.2903367877006531,0.08848389890044928,0.98828125,,,,,,,,,,
batch,2,5,69,0.01282962691038847,0.07335304450243711,0.990625,,,,,,,,,,
batch,2,6,70,0.014299074187874794,0.06351071611667673,0.9921875,,,,,,,,,,
batch,2,7,71,0.10167424380779266,0.06896264864397901,0.9910714285714286,,,,,,,,,,
batch,2,8,72,0.07304391264915466,0.06947280664462596,0.990234375,,,,,,,,,,
batch,2,9,73,0.008824696764349937,0.06273412776903974,0.9913194444444444,,,,,,,,,,
batch,2,10,74,0.10969500243663788,0.06743021523579955,0.9890625,,,,,,,,,,
batch,2,11,75,0.037504006177186966,0.06470965077592568,0.9900568181818182,,,,,,,,,,
batch,2,12,76,0.1181984543800354,0.06916705107626815,0.9869791666666666,,,,,,,,,,
batch,2,13,77,0.04711710661649704,0.0674709015024396,0.9867788461538461,,,,,,,,,,
batch,2,14,78,0.19891777634620667,0.07685996399128012,0.984375,,,,,,,,,,
batch,2,15,79,0.07865102589130402,0.07697936811794838,0.9822916666666667,,,,,,,,,,
batch,2,16,80,0.11407716572284698,0.07929798046825454,0.98046875,,,,,,,,,,
batch,2,17,81,0.07764849066734314,0.07920095165643622,0.9788602941176471,,,,,,,,,,
batch,2,18,82,0.07186859846115112,0.07879359870114261,0.9782986111111112,,,,,,,,,,
batch,2,19,83,0.05846665799617767,0.07772375971667077,0.977796052631579,,,,,,,,,,
batch,2,20,84,0.13693605363368988,0.08068437441252171,0.97734375,,,,,,,,,,
batch,2,21,85,0.07908359915018082,0.08060814701907691,0.9769345238095238,,,,,,,,,,
batch,2,22,86,0.036202944815158844,0.07858972873708064,0.9772727272727273,,,,,,,,,,
batch,2,23,87,0.07028574496507645,0.0782286859643848,0.9769021739130435,,,,,,,,,,
batch,2,24,88,0.07677076011896133,0.07816793905415882,0.9765625,,,,,,,,,,
batch,2,25,89,0.07205487042665482,0.07792341630905866,0.976875,,,,,,,,,,
batch,2,26,90,0.01937812753021717,0.07567167443294938,0.9777644230769231,,,,,,,,,,
batch,2,27,91,0.012873746454715729,0.07334582524857035,0.9785879629629629,,,,,,,,,,
batch,2,28,92,0.106730155646801,0.07453812276279288,0.9787946428571429,,,,,,,,,,
batch,2,29,93,0.02051650360226631,0.07267530830898161,0.9795258620689655,,,,,,,,,,
batch,2,30,94,0.01857909746468067,0.07087210128083825,0.9796875,,,,,,,,,,
batch,2,31,95,0.1872348189353943,0.07462573733421103,0.9798387096774194,,,,,,,,,,
batch,2,32,96,0.0049005793407559395,0.07244682614691556,0.98046875,,,,,,,,,,
batch,2,33,97,0.04115939512848854,0.07149872217666019,0.9805871212121212,,,,,,,,,,
batch,2,34,98,0.04190944507718086,0.07062844932079315,0.9806985294117647,,,,,,,,,,
batch,2,35,99,0.033850912004709244,0.06957766254033361,0.98125,,,,,,,,,,
batch,2,36,100,0.024325823411345482,0.06832066700897282,0.9817708333333334,,,,,,,,,,
batch,2,37,101,0.07030341774225235,0.06837425486662903,0.9818412162162162,,,,,,,,,,
batch,2,38,102,0.04019717127084732,0.06763275266674004,0.9823190789473685,,,,,,,,,,
batch,2,39,103,0.029322542250156403,0.06665043957913533,0.9823717948717948,,,,,,,,,,
batch,2,40,104,0.01601451449096203,0.065384541451931,0.9828125,,,,,,,,,,
batch,2,41,105,0.014769954606890678,0.06415003933375929,0.9832317073170732,,,,,,,,,,
batch,2,42,106,0.004052458796650171,0.06271914455906621,0.9836309523809523,,,,,,,,,,
batch,2,43,107,0.0775177925825119,0.06306329916426262,0.9832848837209303,,,,,,,,,,
batch,2,44,108,0.008886510506272316,0.06183200851294466,0.9836647727272727,,,,,,,,,,
batch,2,45,109,0.0361405685544014,0.061261087624977034,0.9840277777777777,,,,,,,,,,
batch,2,46,110,0.07606127858161926,0.06158283090664317,0.9836956521739131,,,,,,,,,,
batch,2,47,111,0.051827579736709595,0.06137527237111266,0.9837101063829787,,,,,,,,,,
batch,2,48,112,0.0023774204310029745,0.060146150455693714,0.9840494791666666,,,,,,,,,,
batch,2,49,113,0.0500212199985981,0.05993951922187544,0.9837372448979592,,,,,,,,,,
batch,2,50,114,0.033372968435287476,0.05940818820614368,0.98375,,,,,,,,,,
batch,2,51,115,0.007495660334825516,0.058390295502784496,0.9840686274509803,,,,,,,,,,
batch,2,52,116,0.08419182896614075,0.05888647883861827,0.9840745192307693,,,,,,,,,,
batch,2,53,117,0.05422155186533928,0.0587984613485564,0.9837853773584906,,,,,,,,,,
batch,2,54,118,0.04735518619418144,0.05858654884569761,0.9837962962962963,,,,,,,,,,
batch,2,55,119,0.1828393042087555,0.060845689852298664,0.9832386363636364,,,,,,,,,,
batch,2,56,120,0.018138160929083824,0.06008305540724125,0.9835379464285714,,,,,,,,,,
batch,2,57,121,0.09461675584316254,0.06068890980085391,0.9832785087719298,,,,,,,,,,
batch,2,58,122,0.01994190365076065,0.0599863752120592,0.9835668103448276,,,,,,,,,,
batch,2,59,123,0.17671054601669312,0.06196475098840892,0.9830508474576272,,,,,,,,,,
batch,2,60,124,0.07860458642244339,0.06224208157897616,0.9830729166666666,,,,,,,,,,
batch,2,61,125,0.03768110275268555,0.06183944258182386,0.9833504098360656,,,,,,,,,,
batch,2,62,126,0.024301808327436447,0.061233996868043414,0.9836189516129032,,,,,,,,,,
batch,2,63,127,0.012070467695593834,0.06045362338911565,0.9838789682539683,,,,,,,,,,
batch,2,64,128,0.40750035643577576,0.06071165069993101,0.9836431226765799,,,,,,,,,,
epoch,2,,128,,,,0.06071165069993101,0.9836431226765799,0.2137980943888574,0.9233830845771144,0.8452830188679246,0.9801980198019802,0.9583333333333334,0.9858156028368794,0.9784172661870504,0.79
batch,3,1,129,0.07000294327735901,0.07000294327735901,0.984375,,,,,,,,,,
batch,3,2,130,0.1300920695066452,0.1000475063920021,0.984375,,,,,,,,,,
batch,3,3,131,0.12641121447086334,0.10883540908495586,0.9739583333333334,,,,,,,,,,
batch,3,4,132,0.12194899469614029,0.11211380548775196,0.96875,,,,,,,,,,
batch,3,5,133,0.09238211810588837,0.10816746801137925,0.971875,,,,,,,,,,
batch,3,6,134,0.08526809513568878,0.10435090586543083,0.96875,,,,,,,,,,
batch,3,7,135,0.10301054269075394,0.10415942541190557,0.9665178571428571,,,,,,,,,,
batch,3,8,136,0.08418383449316025,0.1016624765470624,0.96484375,,,,,,,,,,
batch,3,9,137,0.019068757072091103,0.09248539660539892,0.96875,,,,,,,,,,
batch,3,10,138,0.17866718769073486,0.10110357571393251,0.9640625,,,,,,,,,,
batch,3,11,139,0.07551135122776031,0.09877700985155323,0.9644886363636364,,,,,,,,,,
batch,3,12,140,0.057099830359220505,0.09530391156052549,0.9661458333333334,,,,,,,,,,
batch,3,13,141,0.16718825697898865,0.10083347659271497,0.9651442307692307,,,,,,,,,,
batch,3,14,142,0.03692331165075302,0.09626846481114626,0.9665178571428571,,,,,,,,,,
batch,3,15,143,0.02744727022945881,0.0916803851723671,0.96875,,,,,,,,,,
batch,3,16,144,0.14523598551750183,0.09502761019393802,0.9677734375,,,,,,,,,,
batch,3,17,145,0.07176582515239716,0.09365926989737679,0.9678308823529411,,,,,,,,,,
batch,3,18,146,0.05317244306206703,0.09141000173985958,0.9678819444444444,,,,,,,,,,
batch,3,19,147,0.17475803196430206,0.09579674017272498,0.9671052631578947,,,,,,,,,,
batch,3,20,148,0.09661246091127396,0.09583752620965243,0.96796875,,,,,,,,,,
batch,3,21,149,0.019629817456007004,0.09220858769757408,0.9694940476190477,,,,,,,,,,
batch,3,22,150,0.007410663645714521,0.08835413660430773,0.9708806818181818,,,,,,,,,,
batch,3,23,151,0.07499151676893234,0.08777315313320445,0.9707880434782609,,,,,,,,,,
batch,3,24,152,0.00548016931861639,0.08434427880759661,0.9720052083333334,,,,,,,,,,
batch,3,25,153,0.06399545073509216,0.08353032568469644,0.971875,,,,,,,,,,
batch,3,26,154,0.01151563785970211,0.08076052999911973,0.9729567307692307,,,,,,,,,,
batch,3,27,155,0.017149291932582855,0.07840455821887762,0.9739583333333334,,,,,,,,,,
batch,3,28,156,0.16068622469902039,0.08134318916459701,0.97265625,,,,,,,,,,
batch,3,29,157,0.017196878790855408,0.07913124742757144,0.9735991379310345,,,,,,,,,,
batch,3,30,158,0.06510500609874725,0.07866370604994397,0.9734375,,,,,,,,,,
batch,3,31,159,0.08681263029575348,0.07892657457400233,0.9727822580645161,,,,,,,,,,
batch,3,32,160,0.0676795169711113,0.07857510402391199,0.97314453125,,,,,,,,,,
batch,3,33,161,0.014181839302182198,0.07662379297173837,0.9739583333333334,,,,,,,,,,
batch,3,34,162,0.10410524904727936,0.07743207109160721,0.9738051470588235,,,,,,,,,,
batch,3,35,163,0.12169326096773148,0.07869667651663934,0.9736607142857143,,,,,,,,,,
batch,3,36,164,0.025755317881703377,0.07722608322122444,0.9739583333333334,,,,,,,,,,
batch,3,37,165,0.04941704124212265,0.07647448749205954,0.9742398648648649,,,,,,,,,,
batch,3,38,166,0.1340613067150116,0.07798993010318984,0.9732730263157895,,,,,,,,,,
batch,3,39,167,0.06741524487733841,0.07771878432816802,0.9735576923076923,,,,,,,,,,
batch,3,40,168,0.09294795989990234,0.07809951371746138,0.9734375,,,,,,,,,,
batch,3,41,169,0.009730740450322628,0.0764319826621653,0.9740853658536586,,,,,,,,,,
